Term,Canada
Canada appeared in 117 documents,Total words(m),Frequency(f)
Article #0,97,5
Article #1,78,1
Article #2,77,1
Article #3,75,2
Article #4,43,1
Article #6,86,2
Article #9,99,2
Article #10,106,2
Article #11,86,2
Article #13,105,2
Article #14,99,2
Article #15,113,1
Article #16,106,5
Article #17,98,4
Article #18,103,4
Article #19,104,3
Article #21,54,2
Article #23,100,4
Article #24,112,3
Article #25,103,2
Article #26,88,4
Article #27,106,3
Article #28,104,2
Article #29,94,1
Article #30,100,2
Article #31,93,3
Article #32,92,3
Article #33,105,1
Article #34,100,4
Article #35,50,2
Article #36,77,2
Article #37,92,2
Article #38,111,1
Article #39,74,2
Article #40,83,2
Article #41,77,2
Article #42,93,2
Article #43,101,3
Article #44,99,2
Article #45,96,2
Article #46,118,5
Article #48,101,2
Article #49,108,1
Article #50,102,3
Article #52,104,1
Article #53,101,1
Article #54,98,2
Article #55,113,3
Article #56,81,2
Article #58,113,2
Article #59,80,1
Article #60,69,1
Article #61,82,2
Article #63,100,1
Article #65,102,2
Article #66,110,4
Article #67,101,2
Article #69,97,2
Article #71,103,2
Article #72,112,2
Article #73,110,2
Article #74,98,2
Article #75,78,1
Article #76,102,2
Article #77,105,2
Article #78,100,2
Article #80,97,2
Article #81,97,2
Article #82,103,3
Article #83,95,1
Article #84,101,2
Article #85,101,2
Article #86,85,1
Article #87,122,3
Article #88,104,2
Article #90,106,2
Article #91,114,2
Article #96,93,2
Article #98,95,4
Article #202,112,1
Article #203,93,1
Article #220,87,1
Article #226,79,1
Article #232,89,2
Article #239,81,1
Article #243,78,1
Article #254,80,1
Article #256,82,1
Article #259,89,2
Article #265,79,1
Article #267,87,1
Article #286,86,2
Article #304,106,5
Article #328,107,3
Article #331,109,3
Article #336,101,2
Article #341,76,1
Article #356,101,2
Article #357,101,2
Article #358,100,2
Article #374,95,2
Article #383,99,2
Article #387,104,1
Article #400,90,1
Article #407,68,1
Article #414,73,1
Article #420,94,2
Article #421,88,1
Article #424,80,1
Article #425,81,1
Article #430,98,2
Article #437,97,1
Article #443,95,1
Article #446,112,1
Article #455,85,2
Article #468,78,1
Article #477,97,1
